Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,MarketOpen-Closing TimeOfDay,MinimumVolume,Commission,DukasSymbol,Leverage,Lotsize,Base,Quote,Country,Group,Description
SCCO.US_USD,92.612,0.656,0,0,0.01,0,0,unknown,1,0,SCCOUSUSD,10,1,SCCO.US,USD, US, STK_CASH, SOUTHERN COPPER CORP
BC.IT_EUR,103.999,0.102,0,0,0.01,0,0,unknown,1,0,BCITEUR,10,1,BC.IT,EUR, IT, STK_CASH, Brunello Cucinelli Spa
ORK.NO_NOK,98.192,0.078,0,0,0.01,0,0,Europe/Oslo:09.00-16.30,1,0,ORKNONOK,10,1,ORK.NO,NOK, NO, STK_CASH, Orkla ASA
FDX.US_USD,272.987,0.106,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,FDXUSUSD,10,1,FDX.US,USD, US, STK_CASH, FEDEX CORP
PUB.FR_EUR,104.845,0.119,0,0,0.01,0,0,Europe/Paris:09.00-17.30,1,0,PUBFREUR,10,1,PUB.FR,EUR, FR, STK_CASH, Publicis Groupe SA
AVTR.US_USD,21.105,0.02,0,0,0.01,0,0,unknown,1,0,AVTRUSUSD,10,1,AVTR.US,USD, US, STK_CASH, AVANTOR INC
DHI.US_USD,141.687,0.166,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,DHIUSUSD,10,1,DHI.US,USD, US, STK_CASH, DR HORTON INC
TRV.US_USD,235.697,0.356,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,TRVUSUSD,10,1,TRV.US,USD, US, STK_CASH, TRAVELERS COS INC/THE
1398.HK_HKD,4.847,0.016,0,0,0.01,0,0,Asia/Hong_Kong:09.20-16.00,1,0,1398HKHKD,10,1,1398.HK,HKD, HK, STK_CASH, Industrial and Commercial Bank of China Ltd
MS.IT_EUR,4.183,0.086,0,0,0.01,0,0,Europe/Rome:09.00-17.25,1,0,MSITEUR,10,1,MS.IT,EUR, IT, STK_CASH, Mediaset Spa
GH.US_USD,32.244,0.112,0,0,0.01,0,0,unknown,1,0,GHUSUSD,10,1,GH.US,USD, US, STK_CASH, GUARDANT HEALTH INC
HMSO.GB_GBX,286.682,0.603,0,0,0.01,0,0,Europe/London:08.00-16.30,1,0,HMSOGBGBX,10,1,HMSO.GB,GBX, GB, STK_CASH, Hammerson PLC
SBRY.GB_GBX,275.749,0.478,0,0,0.01,0,0,Europe/London:08.00-16.30,1,0,SBRYGBGBX,10,1,SBRY.GB,GBX, GB, STK_CASH, J Sainsbury PLC
9501.JP_JPY,463.1,1.8,0,0,1,0,0,Asia/Tokyo:09.00-15.00,1,0,9501JPJPY,10,1,9501.JP,JPY, JP, STK_CASH, Tokyo Electric Power Co Holdings Inc
REG.US_USD,73.17,0.11,0,0,0.01,0,0,unknown,1,0,REGUSUSD,10,1,REG.US,USD, US, STK_CASH, REGENCY CENTERS CORP
AMP.US_USD,523.507,1.086,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,AMPUSUSD,10,1,AMP.US,USD, US, STK_CASH, AMERIPRISE FINANCIAL INC
CASY.US_USD,404.464,3.342,0,0,0.01,0,0,unknown,1,0,CASYUSUSD,10,1,CASY.US,USD, US, STK_CASH, CASEY'S GENERAL STORES INC
