Name,Price,spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,commission,symbol,leverage,Lotsize,Base,Quote
NFLX.US-24,645.32,5.680,-7.82000,2.82000,0.10,0.09210054,59.99,UTC:21:01-20:59,0.10000000,0.02,NFLX.US-24,10,1.00,NFLX.US-24,USD
NKE.US-24,91.81,0.110,-7.82000,2.82000,0.10,0.09210054,8.47,UTC:21:01-20:59,0.10000000,0.02,NKE.US-24,10,1.00,NKE.US-24,USD
NVDA.US-24,1065.25,0.070,-7.82000,2.82000,0.10,0.09210054,49.08,UTC:21:01-20:59,0.10000000,0.02,NVDA.US-24,20,1.00,NVDA.US-24,USD
ORCL.US-24,122.92,0.190,-7.82000,2.82000,0.10,0.09210054,11.34,UTC:21:01-20:59,0.10000000,0.02,ORCL.US-24,10,1.00,ORCL.US-24,USD
PFE.US-24,28.81,0.050,-7.82000,2.82000,0.10,0.09210054,2.66,UTC:21:01-20:59,0.10000000,0.02,PFE.US-24,10,1.00,PFE.US-24,USD
SNAP.US-24,15.23,0.020,-7.82000,2.82000,0.10,0.09210054,2.81,UTC:21:01-20:59,0.10000000,0.02,SNAP.US-24,5,1.00,SNAP.US-24,USD
TSLA.US-24,178.92,0.030,-7.82000,2.82000,0.10,0.09210054,8.24,UTC:21:01-20:59,0.10000000,0.02,TSLA.US-24,20,1.00,TSLA.US-24,USD
V.US-24,274.19,0.300,-7.82000,2.82000,0.10,0.09210054,25.29,UTC:21:01-20:59,0.10000000,0.02,V.US-24,10,1.00,V.US-24,USD
WMT.US-24,65.15,0.230,-7.82000,2.82000,0.10,0.09210054,6.02,UTC:21:01-20:59,0.10000000,0.02,WMT.US-24,10,1.00,WMT.US-24,USD
C.US-24,63.41,0.210,-7.82000,2.82000,0.10,0.09210054,5.86,UTC:21:01-20:59,0.10000000,0.02,C.US-24,10,1.00,C.US-24,USD
MCD.US-24,257.51,0.590,-7.82000,2.82000,0.10,0.09210054,23.78,UTC:21:01-20:59,0.10000000,0.02,MCD.US-24,10,1.00,MCD.US-24,USD
PG.US-24,165.21,0.110,-7.82000,2.82000,0.10,0.09210054,15.23,UTC:21:01-20:59,0.10000000,0.02,PG.US-24,10,1.00,PG.US-24,USD
US_TBond,116.885,0.0440,-2.88000,-2.12000,0.010,0.00921005,3.59,UTC:22:00-20:59,1.00000000,0.00,US_TBond,30,1.00,US_TBond,USD
