sep=,
Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,Commission,Symbol,Leverage,Lotsize,Base,Quote,Country,Group,Description
USDNOK,11.05565,0.003399,-2.46000,-3.64000,0.00010,0.85066565,188.27,UTC:22:01-21:59,1000.00000000,0.00,USDNOK,500,100000.00,USD,NOK,,,US Dollar vs Norwegian Krone
USDMXN,20.48379,0.003263,-51.11000,12.66000,0.00010,0.45918932,188.27,UTC:22:01-21:59,1000.00000000,0.00,USDMXN,500,100000.00,USD,MXN,,,US Dollar vs Mexican Peso
USDSGD,1.33677,0.000154,-0.02000,-1.12000,0.00010,7.03615882,188.27,UTC:22:01-21:59,1000.00000000,0.00,USDSGD,500,100000.00,USD,SGD,,,US Dollar vs Singapore Dollar
USDSEK,10.89136,0.002797,2.74000,-8.68000,0.00010,0.86351163,188.27,UTC:22:01-21:59,1000.00000000,0.00,USDSEK,500,100000.00,USD,SEK,,,US Dollar vs Swedish Krona
EURSEK,11.57787,0.002832,-1.60000,-4.62000,0.00010,0.86351163,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURSEK,500,100000.00,EUR,SEK,,,Euro vs Swedish Krona
GBPSGD,1.70398,0.000274,0.01000,-1.48000,0.00010,7.03610931,240.06,UTC:22:01-21:59,1000.00000000,0.00,GBPSGD,500,100000.00,GBP,SGD,,,Great Britain Pound vs Singapore Dollar
EURNOK,11.75336,0.003119,-7.30000,0.74000,0.00010,0.85060052,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURNOK,500,100000.00,EUR,NOK,,,Euro vs Norwegian Krone
AUDSGD,0.87241,0.000234,-0.08000,-0.67000,0.00010,7.03610931,122.95,UTC:22:01-21:59,1000.00000000,0.00,AUDSGD,500,100000.00,AUD,SGD,,,Australian Dollar vs Singapore Dollar
EURHUF,408.503,0.4131,-4.41000,0.58000,0.010,2.44550797,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURHUF,500,100000.00,EUR,HUF,,,Euro vs Hungarian Forint
USDPLN,4.08511,0.003685,-4.24000,-1.66000,0.00010,2.30126823,188.27,UTC:22:01-21:59,1000.00000000,0.00,USDPLN,500,100000.00,USD,PLN,,,US Dollar vs Polish Zloty
USDDKK,7.01467,0.006235,1.00000,-5.19000,0.00010,1.34021309,188.27,UTC:22:01-21:59,1000.00000000,0.00,USDDKK,500,100000.00,USD,DKK,,,US Dollar vs Danish Krone
GBPNOK,14.09342,0.004938,-2.82000,-4.95000,0.00010,0.85060776,240.06,UTC:22:01-21:59,1000.00000000,0.00,GBPNOK,500,100000.00,GBP,NOK,,,British Pound vs Norwegian Krone
CHFSGD,1.51481,0.000271,-1.63000,0.20000,0.00010,7.03625784,213.35,UTC:22:01-21:59,1000.00000000,0.00,CHFSGD,500,100000.00,CHF,SGD,,,Swiss Franc vs Singapore Dollar
EURCZK,25.30257,0.007831,-15.18000,-6.61000,0.00010,0.39509716,200.00,UTC:06:01-21:59,1000.00000000,0.00,EURCZK,500,100000.00,EUR,CZK,,,Euro vs Czech Koruna
